".scenario.id",".at","prevpos.retest.start","second.genps.start","part.index.prob","part.ppindex.prob","scenarioid_1","scenarioid_2","scenarioid_3","scenarioid_4","part.ident.main.prob","part.ident.casl.prob","part.ident.ooff.prob","part.hiv.test.rate_1","part.hiv.test.rate_2","part.hiv.test.rate_3","part.prep.start.prob_1","part.prep.start.prob_2","part.prep.start.prob_3","part.tx.init.rate_1","part.tx.init.rate_2","part.tx.init.rate_3","part.tx.reinit.rate_1","part.tx.reinit.rate_2","part.tx.reinit.rate_3"
"a001_0_0_base",0,Inf,Inf,0,0,"001","0","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"a002_0.05_0_base",0,Inf,Inf,0.05,0,"002","0.05","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"a003_0.1_0_base",0,Inf,Inf,0.1,0,"003","0.1","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"a004_0.15_0_base",0,Inf,Inf,0.15,0,"004","0.15","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"a005_0.2_0_base",0,Inf,Inf,0.2,0,"005","0.2","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"a006_0.25_0_base",0,Inf,Inf,0.25,0,"006","0.25","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"a007_0.3_0_base",0,Inf,Inf,0.3,0,"007","0.3","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"a008_0.35_0_base",0,Inf,Inf,0.35,0,"008","0.35","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"a009_0.4_0_base",0,Inf,Inf,0.4,0,"009","0.4","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"a010_0.45_0_base",0,Inf,Inf,0.45,0,"010","0.45","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"a011_0.5_0_base",0,Inf,Inf,0.5,0,"011","0.5","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"a012_0.55_0_base",0,Inf,Inf,0.55,0,"012","0.55","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"a013_0.6_0_base",0,Inf,Inf,0.6,0,"013","0.6","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"a014_0.65_0_base",0,Inf,Inf,0.65,0,"014","0.65","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"a015_0.7_0_base",0,Inf,Inf,0.7,0,"015","0.7","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"a016_0.75_0_base",0,Inf,Inf,0.75,0,"016","0.75","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"a017_0.8_0_base",0,Inf,Inf,0.8,0,"017","0.8","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"a018_0.85_0_base",0,Inf,Inf,0.85,0,"018","0.85","0","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
